city_name,iata_code
Agartala,IXA
Agatti Island,AGX
Agra,AGR
Ahmedabad,AMD
Aizawl,AJL
Akola,AKD
Allahabad,IXD
Along,IXV
Amritsar,ATQ
Aurangabad,IXU
Bagdogra,IXB
Balurghat,RGH
Bangalore,BLR
Bareilly,BEK
Belgaum,IXG
Bellary,BEP
Bhatinda,BUP
Bhavnagar,BHU
Bhopal,BHO
Bhubaneswar,BBI
Bhuj,BHJ
Bikaner,BKB
Bilaspur,PAB
Mumbai,BOM
Kolkata,CCU
Car Nicobar,CBD
Chandigarh,IXC
Coimbatore,CJB
Cooch Behar,COH
Cuddapah,CDP
Chennai,MAA
Daman,NMB
Daparizo,DAE
Darjeeling,DAI
Dehradun,DED
Delhi,DEL
Dhanbad,DBD
Dibrugarh,DIB
Dimapur,DMU
Diu,DIU
Gaya,GAY
Goa,GOI
Gorakhpur,GOP
Guna,GUX
Guwahati,GAU
Gwalior,GWL
Hubli,HBX
Hyderabad,HYD
Imphal,IMF
Indore,IDR
Jabalpur,JLR
Jaipur,JAI
Jaisalmer,JSA
Jamshedpur,IXW
Jammu,IXJ
Jamnagar,JGA
Jodhpur,JDH
Jorhat,JRH
Kandla,IXY
Kanpur,KNU
Keshod,IXK
Khajuraho,HJR
Khowai,IXN
Kishangarh,KQH
Kochi,COK
Kolhapur,KLH
Kota,KTU
Kozhikode,CCJ
Kullu,KUU
Leh,IXL
Lilabari,IXI
Lucknow,LKO
Ludhiana,LUH
Madurai,IXM
Mangalore,IXE
Muzaffarpur,MZU
Mysore,MYQ
Nagpur,NAG
Nanded,NDC
Nasik,ISK
Pathankot,IXP
Patna,PAT
Pondicherry,PNY
Porbandar,PBD
Pune,PNQ
Raipur,RPR
Rajahmundry,RJA
Rajkot,RAJ
Ranchi,IXR
Ratnagiri,RTC
Rewa,REW
Rourkela,RRK
Salem,SXV
Satna,TNI
Shillong,SHL
Shimla,SLV
Silchar,IXS
Srinagar,SXR
Surat,STV
Tezpur,TEZ
Thanjavur,TJV
Thiruvananthapuram,TRV
Tiruchirapalli,TRZ
Tirupati,TIR
Tuticorin,TCR
Udaipur,UDR
Vadodara,BDQ
Varanasi,VNS
Vijayawada,VGA
Visakhapatnam,VTZ
Warangal,WGC
Zero,ZER
